ep-2922 C#CC(C#C)OC
ep-2926 CC#CC(C)OC
ep-2928 COC(C)C#CF
ep-2929 C#CC(C)OCC
ep-2931 C#CC(C)OCF
ep-2932 C#CC(C)OC=C
ep-2933 C#CC(C)OC=O
ep-2934 C#COC(C)C#C
ep-2942 CC(C)OC(C)C
ep-2944 CC(C)OC(C)F
ep-2945 C=C(C)OC(C)C
ep-2946 CC(=O)OC(C)C
ep-2947 CCCOC(C)C
ep-2949 CC(C)OCCF
ep-2950 C=CCOC(C)C
ep-2951 CC(C)OCC=O
ep-2952 C#CCOC(C)C
ep-2957 COCOC(C)C
ep-2958 CC(C)OC(F)F
ep-2959 C=C(F)OC(C)C
ep-2960 CC(C)OC(=O)F
ep-2961 CC=COC(C)C
ep-2963 CC(C)OC=CF
ep-2964 CC#COC(C)C
ep-2966 CC(C)OC#CF
ep-2967 CC(F)C(C)(F)F
ep-2968 C=C(C)C(C)(F)F
ep-2969 CC(=O)C(C)(F)F
ep-2970 CCC(F)(F)CC
ep-2972 CCC(F)(F)CF
ep-2973 C=CC(F)(F)CC
ep-2974 CCC(F)(F)C=O
ep-2975 C#CC(F)(F)CC
ep-2976 CCCC(C)(F)F
ep-2978 CC(F)(F)CCF
ep-2979 C=CCC(C)(F)F
ep-2980 CC(F)(F)CC=O
ep-2981 C#CCC(C)(F)F
ep-2991 COCC(C)(F)F
ep-2992 CC(F)(F)C(F)F
ep-2993 C=C(F)C(C)(F)F
ep-2994 CC(F)(F)C(=O)F
ep-2995 FCC(F)(F)CF
ep-2996 C=CC(F)(F)CF
ep-2997 O=CC(F)(F)CF
ep-2998 C#CC(F)(F)CF
ep-2999 C=CC(F)(F)C=C
ep-3000 C=CC(F)(F)C=O
ep-3001 C#CC(F)(F)C=C
ep-3002 CC=CC(C)(F)F
ep-3004 CC(F)(F)C=CF
ep-3005 O=CC(F)(F)C=O
ep-3006 C#CC(F)(F)C=O
ep-3007 C#CC(F)(F)C#C
ep-3008 CC#CC(C)(F)F
ep-3010 CC(F)(F)C#CF
ep-3011 CCC(F)C(C)F
ep-3013 CC(F)C(F)CF
ep-3014 C=CC(F)C(C)F
ep-3015 CC(F)C(F)C=O
ep-3016 C#CC(F)C(C)F
ep-3017 C=C(C)C(F)CC
ep-3019 C=C(C)C(F)CF
ep-3020 C=CC(F)C(=C)C
ep-3021 C=C(C)C(F)C=O
ep-3022 C#CC(F)C(=C)C
ep-3023 C=C(CC)C(C)F
ep-3025 C=C(CF)C(C)F
ep-3026 C=CC(=C)C(C)F
ep-3027 C=C(C=O)C(C)F
ep-3028 C#CC(=C)C(C)F
ep-3029 CC=C(C)C(C)F
ep-3031 CC(=CF)C(C)F
ep-3032 CCC(F)C(C)=O
ep-3034 CC(=O)C(F)CF
ep-3035 C=CC(F)C(C)=O
ep-3036 CC(=O)C(F)C=O
ep-3037 C#CC(F)C(C)=O
ep-3038 CCC(=O)C(C)F
ep-3040 CC(F)C(=O)CF
ep-3041 C=CC(=O)C(C)F
ep-3042 CC(F)C(=O)C=O
ep-3043 C#CC(=O)C(C)F
ep-3044 CCCC(F)CC
ep-3046 CCC(F)CCF
ep-3047 C=CCC(F)CC
ep-3048 CCC(F)CC=O
ep-3049 C#CCC(F)CC
ep-3060 CCC(F)COC
ep-3061 CCC(F)C(F)F
ep-3062 C=C(F)C(F)CC
ep-3063 CCC(F)C(=O)F
ep-3064 CCCC(F)CF
ep-3066 FCCC(F)CF
ep-3067 C=CCC(F)CF
ep-3068 O=CCC(F)CF
ep-3069 C#CCC(F)CF
ep-3070 C=CC(F)CCC
ep-3072 C=CC(F)CCF
ep-3073 C=CCC(F)C=C
ep-3074 C=CC(F)CC=O
ep-3075 C#CCC(F)C=C
ep-3076 CC=CC(F)CC
ep-3078 CCC(F)C=CF
ep-3079 CCCC(F)C=O
ep-3081 O=CC(F)CCF
ep-3082 C=CCC(F)C=O
ep-3083 O=CCC(F)C=O
ep-3084 C#CCC(F)C=O
ep-3085 C#CC(F)CCC
ep-3087 C#CC(F)CCF
ep-3088 C#CC(F)CC=C
ep-3089 C#CC(F)CC=O
ep-3090 C#CCC(F)C#C
ep-3091 CC#CC(F)CC
ep-3093 CCC(F)C#CF
ep-3094 CC(F)CC(C)F
ep-3095 C=C(C)CC(C)F
ep-3096 CC(=O)CC(C)F
ep-3097 CCCCC(C)F
ep-3099 CC(F)CCCF
ep-3100 C=CCCC(C)F
ep-3101 CC(F)CCC=O
ep-3102 C#CCCC(C)F
ep-3107 COCCC(C)F
ep-3108 CC(F)CC(F)F
ep-3109 C=C(F)CC(C)F
ep-3110 CC(F)CC(=O)F
ep-3111 CC=CCC(C)F
ep-3113 CC(F)CC=CF
ep-3114 CC#CCC(C)F
ep-3116 CC(F)CC#CF
ep-3131 COC(F)C(C)F
ep-3137 C=C(OC)C(C)F
ep-3146 COC(=O)C(C)F
ep-3151 COCC(F)CF
ep-3152 C=CC(F)COC
ep-3156 COCC(F)C=O
ep-3157 C#CC(F)COC
ep-3161 CCOCC(C)F
ep-3163 CC(F)COCF
ep-3164 C=COCC(C)F
ep-3165 CC(F)COC=O
ep-3166 C#COCC(C)F
ep-3167 CC(F)C(F)(F)F
ep-3168 FCC(F)C(F)F
ep-3169 C=CC(F)C(F)F
ep-3170 O=CC(F)C(F)F
ep-3171 C#CC(F)C(F)F
ep-3172 C=C(F)C(F)CF
ep-3173 C=CC(F)C(=C)F
ep-3174 C=C(F)C(F)C=O
ep-3175 C#CC(F)C(=C)F
ep-3176 CC=C(F)C(C)F
ep-3178 CC(F)C(F)=CF
ep-3179 O=C(F)C(F)CF
ep-3180 C=CC(F)C(=O)F
ep-3181 O=CC(F)C(=O)F
ep-3182 C#CC(F)C(=O)F
ep-3183 CC=CC(F)CF
ep-3185 FC=CC(F)CF
ep-3186 CC#CC(F)CF
ep-3188 FC#CC(F)CF
ep-3189 C=CC(F)C=CC
ep-3191 C=CC(F)C=CF
ep-3192 CC=CC(F)C=O
ep-3194 O=CC(F)C=CF
ep-3195 C#CC(F)C=CC
ep-3197 C#CC(F)C=CF
ep-3198 C=CC(F)C#CC
ep-3200 C=CC(F)C#CF
ep-3201 CC(C)=CC(C)F
ep-3203 CC(F)=CC(C)F
ep-3204 CCC=CC(C)F
ep-3206 CC(F)C=CCF
ep-3207 C=CC=CC(C)F
ep-3208 CC(F)C=CC=O
ep-3209 C#CC=CC(C)F
ep-3212 COC=CC(C)F
ep-3213 CC(F)C=C(F)F
ep-3214 CC#CC(F)C=O
ep-3216 O=CC(F)C#CF
ep-3217 C#CC(F)C#CC
ep-3219 C#CC(F)C#CF
ep-3220 CCC#CC(C)F
ep-3222 CC(F)C#CCF
ep-3223 C=CC#CC(C)F
ep-3224 CC(F)C#CC=O
ep-3225 C#CC#CC(C)F
ep-3226 COC#CC(C)F
ep-3227 C=C(C)C(=C)CC
ep-3229 C=C(C)C(=C)CF
ep-3230 C=CC(=C)C(=C)C
ep-3231 C=C(C)C(=C)C=O
ep-3232 C#CC(=C)C(=C)C
ep-3233 C=C(C)C(C)=CC
ep-3235 C=C(C)C(C)=CF
ep-3236 C=C(CC)C(C)=O
ep-3238 C=C(CF)C(C)=O
ep-3239 C=CC(=C)C(C)=O
ep-3240 C=C(C=O)C(C)=O
ep-3241 C#CC(=C)C(C)=O
ep-3242 CC=C(C)C(C)=O
ep-3244 CC(=O)C(C)=CF
ep-3245 C=C(C)C(=O)CC
ep-3247 C=C(C)C(=O)CF
ep-3248 C=CC(=O)C(=C)C
ep-3249 C=C(C)C(=O)C=O
ep-3250 C#CC(=O)C(=C)C
ep-3251 CC=C(CC)CC
ep-3253 CCC(=CF)CC
ep-3254 C=C(CC)CCC
ep-3256 C=C(CC)CCF
ep-3257 C=CCC(=C)CC
ep-3258 C=C(CC)CC=O
ep-3259 C#CCC(=C)CC
ep-3273 C=C(CC)COC
ep-3274 C=C(CC)C(F)F
ep-3275 C=C(F)C(=C)CC
ep-3276 C=C(CC)C(=O)F
ep-3277 CC=C(CC)CF
ep-3279 CCC(=CF)CF
ep-3280 C=C(CF)CCC
ep-3282 C=C(CF)CCF
ep-3283 C=CCC(=C)CF
ep-3284 C=C(CF)CC=O
ep-3285 C#CCC(=C)CF
ep-3286 C=CC(=CC)CC
ep-3288 C=CC(=CF)CC
ep-3289 C=CC(=C)CCC
ep-3291 C=CC(=C)CCF
ep-3292 C=CCC(=C)C=C
ep-3293 C=CC(=C)CC=O
ep-3294 C#CCC(=C)C=C
ep-3295 C=C(C=CC)CC
ep-3297 C=C(C=CF)CC
ep-3298 CC=C(C=O)CC
ep-3300 CCC(C=O)=CF
ep-3301 C=C(C=O)CCC
ep-3303 C=C(C=O)CCF
ep-3304 C=CCC(=C)C=O
ep-3305 C=C(C=O)CC=O
