ep-1425 FCC1CC1F
ep-1426 C=C1C(C)C1F
ep-1427 C=CC1CC1F
ep-1428 C=C1CC1CF
ep-1429 CC1C(=O)C1F
ep-1430 O=CC1CC1F
ep-1431 O=C1CC1CF
ep-1432 C#CC1CC1F
ep-1433 C=C1C(=C)C1C
ep-1434 C=CC1CC1=C
ep-1435 CC1C=CC=C1
ep-1436 C=C1C(=O)C1C
ep-1437 C=C1CC1C=O
ep-1438 C=CC1CC1=O
ep-1439 C#CC1CC1=C
ep-1440 CC1C#CC=C1
ep-1441 CC=C1CC1C
ep-1442 CC=CC1CC1
ep-1445 CC1CC1=CF
ep-1446 FC=CC1CC1
ep-1447 CC1C(=O)C1=O
ep-1448 O=CC1CC1=O
ep-1449 C#CC1CC1=O
ep-1450 CC1C#CC#C1
ep-1451 CC#CC1CC1
ep-1453 FC#CC1CC1
ep-1473 COC1(C)CO1
ep-1474 CC1(C)OCO1
ep-1475 CC1OC1(C)F
ep-1476 CCC1(F)CO1
ep-1478 CC1(F)CCO1
ep-1484 CC1(F)OC1F
ep-1485 FCC1(F)CO1
ep-1487 C=C1OC1(C)F
ep-1488 C=CC1(F)CO1
ep-1490 CC1(F)OC1=O
ep-1491 O=CC1(F)CO1
ep-1492 C#CC1(F)CO1
ep-1493 COC1(F)CC1
ep-1497 CC(F)C1CO1
ep-1499 CC1OCC1F
ep-1500 C=C(C)C1CO1
ep-1502 C=C1COC1C
ep-1503 CC(=O)C1CO1
ep-1505 CC1OCC1=O
ep-1506 CCC1OC1C
ep-1507 CCC1CCO1
ep-1515 CC1OC1CF
ep-1516 CCC1OC1F
ep-1517 FCC1CCO1
ep-1518 C=CC1OC1C
ep-1519 C=C1OC1CC
ep-1520 C=CC1CCO1
ep-1522 CC1OC1C=O
ep-1523 CCC1OC1=O
ep-1524 O=CC1CCO1
ep-1525 C#CC1OC1C
ep-1526 C#CC1CCO1
ep-1528 COC1CCC1
ep-1529 CC1CCCO1
ep-1530 CC1CC=CO1
ep-1531 CC1CC#CO1
ep-1532 CCCC1CO1
ep-1533 CC1CC(C)O1
ep-1537 FCCC1CO1
ep-1539 CC1CC(F)O1
ep-1540 C=CCC1CO1
ep-1542 C=C1CC(C)O1
ep-1543 O=CCC1CO1
ep-1545 CC1CC(=O)O1
ep-1546 C#CCC1CO1
ep-1572 COC1COC1
ep-1573 CC1COCO1
ep-1574 COC1OC1C
ep-1575 COCC1CO1
ep-1577 CC1OC1(F)F
ep-1578 FC(F)C1CO1
ep-1579 C=C(F)C1CO1
ep-1580 O=C(F)C1CO1
ep-1582 FCC1OC1F
ep-1584 C=CC1OC1F
ep-1585 C=C1OC1CF
ep-1587 O=CC1OC1F
ep-1588 O=C1OC1CF
ep-1589 C#CC1OC1F
ep-1590 COC1CC1F
ep-1592 C=CC1OC1=C
ep-1595 C=C1OC1C=O
ep-1596 C=CC1OC1=O
ep-1597 C#CC1OC1=C
ep-1599 C=C1CC1OC
ep-1600 CC1C=CCO1
ep-1602 CC=C1OC1C
ep-1603 CC=CC1CO1
ep-1608 CC1OC1=CF
ep-1609 FC=CC1CO1
ep-1611 O=CC1OC1=O
ep-1612 C#CC1OC1=O
ep-1613 COC1CC1=O
ep-1615 CC1C#CCO1
ep-1616 CC#CC1CO1
ep-1618 FC#CC1CO1
ep-1619 CCOC1CC1
ep-1621 FCOC1CC1
ep-1622 C=COC1CC1
ep-1623 O=COC1CC1
ep-1624 C#COC1CC1
ep-1625 FC1(F)CCC1
ep-1626 FC1(F)COC1
ep-1627 FC1CC1(F)F
ep-1628 C=C1CC1(F)F
ep-1629 O=C1CC1(F)F
ep-1630 FC1CCC1F
ep-1631 C=C1CCC1F
ep-1632 O=C1CCC1F
ep-1633 FC1CCCC1
ep-1634 FC1CC=CC1
ep-1635 FC1CC#CC1
ep-1636 FC1CCOC1
ep-1637 FC1C=CCC1
ep-1638 FC1C#CCC1
ep-1639 FC1CC(F)C1
ep-1640 C=C1CC(F)C1
ep-1641 O=C1CC(F)C1
ep-1643 FC1COC1F
ep-1644 C=C1OCC1F
ep-1645 O=C1OCC1F
ep-1646 FC1C=COC1
ep-1647 FC1C#COC1
ep-1648 FC1C(F)C1F
ep-1649 C=C1C(F)C1F
ep-1650 O=C1C(F)C1F
ep-1651 C=C1C(=C)C1F
ep-1652 FC1C=CC=C1
ep-1653 C=C1C(=O)C1F
ep-1654 FC1C#CC=C1
ep-1655 CC=C1CC1F
ep-1657 FC=C1CC1F
ep-1658 O=C1C(=O)C1F
ep-1659 FC1C#CC#C1
ep-1660 C=C1CCC1=C
ep-1661 C=C1CCC1=O
ep-1662 C=C1CCCC1
ep-1663 C=C1CC=CC1
ep-1664 C=C1CC#CC1
ep-1665 C=C1CCOC1
ep-1666 C=C1C=CCC1
ep-1667 C=C1C#CCC1
ep-1668 CC=C1CCC1
ep-1669 CC1=CCCC1
ep-1670 CC1=CC=CC1
ep-1671 CC1=CC#CC1
ep-1673 CC1=COCC1
ep-1674 FC=C1CCC1
ep-1675 C=C1CC(=C)C1
ep-1676 C=C1CC(=O)C1
ep-1678 C=C1COC1F
ep-1679 C=C1COC1=C
ep-1680 C=C1COC1=O
ep-1681 C=C1C=COC1
ep-1682 C=C1C#COC1
ep-1683 CC=C1COC1
ep-1684 CC1=CCOC1
ep-1686 FC=C1COC1
ep-1687 C=C1C(=C)C1=C
ep-1688 C=C1C=CC=C1
ep-1689 C=c1c(=C)c1=O
ep-1690 C=C1C#CC=C1
ep-1691 C=C1CC1=CC
ep-1692 CC1=CCC=C1
ep-1694 Cc1ccoc1
ep-1695 C=C1CC1=CF
ep-1696 C=C1C(=O)C1=O
ep-1697 CC=C1CC1=O
ep-1699 O=C1CC1=CF
ep-1700 C=C1C#CC#C1
ep-1701 CC1=CCC#C1
ep-1702 Cc1c#coc1
ep-1703 CC(C)=C1CC1
ep-1705 CC(C)=C1CO1
ep-1706 CC(F)=C1CC1
ep-1707 CCC=C1CC1
ep-1709 FCC=C1CC1
ep-1710 C=CC=C1CC1
ep-1711 O=CC=C1CC1
ep-1712 C#CC=C1CC1
ep-1715 COC=C1CC1
ep-1716 FC(F)=C1CC1
ep-1717 O=C1CCC1=O
ep-1718 O=C1CCCC1
ep-1719 O=C1CC=CC1
ep-1720 O=C1CC#CC1
ep-1721 O=C1CCOC1
ep-1722 O=C1C=CCC1
ep-1723 O=C1C#CCC1
ep-1724 O=C1CC(=O)C1
ep-1726 O=C1COC1F
ep-1727 C=C1OCC1=O
ep-1728 O=C1COC1=O
ep-1729 O=C1C=COC1
ep-1730 O=C1C#COC1
ep-1731 O=C1C=CC=C1
ep-1732 O=C1C#CC=C1
ep-1733 O=C1C(=O)C1=O
ep-1734 O=C1C#CC#C1
ep-1735 C1CCCCC1
ep-1736 C1=CCCCC1
ep-1737 C1#CCCCC1
ep-1739 C1CCOCC1
ep-1740 FC1=CCCC1
ep-1742 FC1CCCO1
ep-1743 C=C1CCCO1
ep-1744 O=C1CCCO1
ep-1745 C1=COCCC1
ep-1746 C1#COCCC1
ep-1747 C1=CCCC=C1
ep-1748 C1#CCCC=C1
ep-1749 C1#CCCC#C1
ep-1758 COC1CCO1
ep-1759 CCC1OCO1
ep-1760 FC1(F)CCO1
ep-1761 FC1CC(F)O1
ep-1762 C=C1CC(F)O1
ep-1763 FC1CC=CO1
ep-1764 O=C1CC(F)O1
ep-1765 FC1CC#CO1
ep-1767 C=C1CC(=C)O1
ep-1768 C=C1CC=CO1
ep-1770 C=C1CC(=O)O1
ep-1771 C=C1CC#CO1
ep-1773 CC=C1CCO1
ep-1775 FC=C1CCO1
ep-1776 O=C1CC=CO1
ep-1777 O=C1CC(=O)O1
ep-1778 O=C1CC#CO1
ep-1779 C1COCOC1
ep-1780 FC1=COCC1
ep-1781 C1=CCOCC1
ep-1782 CC1=CCCO1
ep-1784 FC1=CCCO1
ep-1785 C1#CCOCC1
ep-1786 FC1=CC=CC1
ep-1787 FC1=CC#CC1
ep-1788 C1=CCC=CC1
ep-1790 C1=COC=CC1
ep-1791 FC1=CCC=C1
ep-1792 C1#CCC=CC1
ep-1794 C1#COC=CC1
ep-1795 FC1=CCC#C1
ep-1796 CCC=C1CO1
ep-1797 C1#CCC#CC1
ep-1798 C1#COC#CC1
ep-1809 COC1(F)CO1
ep-1810 CC1(F)OCO1
ep-1815 COC1OC1F
ep-1816 FCC1OCO1
ep-1817 C=C1OC1OC
ep-1818 C=CC1OCO1
ep-1823 COC1OC1=O
ep-1824 O=CC1OCO1
ep-1825 C#CC1OCO1
ep-1827 CC1OCCO1
ep-1828 CC1OC=CO1
ep-1829 CC1OC#CO1
ep-1830 CCOC1CO1
ep-1831 CC1OC(C)O1
ep-1834 FCOC1CO1
ep-1835 CC1OC(F)O1
ep-1836 C=COC1CO1
ep-1837 C=C1OC(C)O1
ep-1838 O=COC1CO1
ep-1839 CC1OC(=O)O1
ep-1840 C#COC1CO1
ep-1841 FC1OC1(F)F
ep-1842 C=C1OC1(F)F
ep-1843 O=C1OC1(F)F
ep-1844 FC1COCO1
ep-1845 FC1C=CCO1
ep-1846 CC=C1OC1F
ep-1848 FC=C1OC1F
ep-1849 FC1C#CCO1
ep-1850 C=C1COCO1
ep-1852 C=C1C=CCO1
ep-1853 C=C1OC1=CC
ep-1856 C=C1OC1=CF
ep-1857 CC=C1OC1=O
ep-1859 O=C1OC1=CF
ep-1860 C=C1C#CCO1
ep-1862 Cc1ccco1
ep-1863 Cc1cc#co1
ep-1864 CC1=COCO1
ep-1866 CC(F)=C1CO1
ep-1868 FCC=C1CO1
ep-1869 C=CC=C1CO1
ep-1870 O=CC=C1CO1
ep-1871 C#CC=C1CO1
ep-1874 COC=C1CO1
ep-1875 FC(F)=C1CO1
ep-1876 O=C1COCO1
ep-1877 O=C1C=CCO1
ep-1878 O=C1C#CCO1
ep-1879 C1COCCO1
ep-1880 C1=COCCO1
ep-1881 C1#COCCO1
