ep-14666 C=C(C)C(=CC)OC
ep-14669 C=C(CC)C(=C)OC
ep-14672 C=CC(=C)C(=C)OC
ep-14674 C#CC(=C)C(=C)OC
ep-14675 C=C(OC)C(C)=CC
ep-14687 CCC(OC)=C(C)C
ep-14690 CC=C(CCC)OC
ep-14693 C=CCC(=CC)OC
ep-14695 C#CCC(=CC)OC
ep-14696 CCC=C(CC)OC
ep-14699 C=CC=C(CC)OC
ep-14701 C#CC=C(CC)OC
ep-14710 CCC(=COC)OC
ep-14718 C=C(CC(C)C)OC
ep-14721 C=C(C)CC(=C)OC
ep-14723 C=C(CCCC)OC
ep-14726 C=CCCC(=C)OC
ep-14728 C#CCCC(=C)OC
ep-14733 C=C(CCOC)OC
ep-14737 C=C(CC=CC)OC
ep-14740 C=C(CC#CC)OC
ep-14755 C=C(OC)C(=C)OC
ep-14766 CC=C(COC)OC
ep-14779 C=C(COCC)OC
ep-14782 C=COCC(=C)OC
ep-14784 C#COCC(=C)OC
ep-14811 C=CC(OC)=C(C)C
ep-14814 CC=CC(=CC)OC
ep-14817 C=CC(=CCC)OC
ep-14820 C=CC=C(C=C)OC
ep-14822 C#CC=C(C=C)OC
ep-14828 C=CC(=COC)OC
ep-14833 C=C(C=C(C)C)OC
ep-14836 C=C(C=CCC)OC
ep-14839 C=CC=CC(=C)OC
ep-14841 C#CC=CC(=C)OC
ep-14844 C=C(C=COC)OC
ep-14859 C#CC(OC)=C(C)C
ep-14862 CC#CC(=CC)OC
ep-14865 C#CC(=CCC)OC
ep-14868 C#CC(=CC=C)OC
ep-14870 C#CC=C(C#C)OC
ep-14876 C#CC(=COC)OC
ep-14881 C=C(C#CCC)OC
ep-14884 C=CC#CC(=C)OC
ep-14886 C#CC#CC(=C)OC
ep-14887 C=C(C#COC)OC
ep-14888 CCC(C)=C(C)OC
ep-14891 C=CC(C)=C(C)OC
ep-14893 C#CC(C)=C(C)OC
ep-14900 COC(C)=C(C)OC
ep-14907 COC(C)=CC(C)C
ep-14910 C=C(C)C=C(C)OC
ep-14912 CCCC=C(C)OC
ep-14915 C=CCC=C(C)OC
ep-14917 C#CCC=C(C)OC
ep-14922 COCC=C(C)OC
ep-14926 CC=CC=C(C)OC
ep-14929 CC#CC=C(C)OC
ep-14934 CCOC=C(C)OC
ep-14937 C=COC=C(C)OC
ep-14939 C#COC=C(C)OC
ep-15378 CCOCC(C)(C)C
ep-15381 CCCOCC(C)C
ep-15384 C=CCOCC(C)C
ep-15386 C#CCOCC(C)C
ep-15387 CCOCC(C)CC
ep-15390 C=CC(C)COCC
ep-15392 C#CC(C)COCC
ep-15420 C=C(C)COCCC
ep-15423 C=CCOCC(=C)C
