ep-12278 C=COC(C)C(F)F
ep-12279 C=COC(C)C(=C)F
ep-12280 C=COC(C)C(=O)F
ep-12281 C=COC(CF)CF
ep-12282 C=COC(C=C)CF
ep-12283 C=COC(C=O)CF
ep-12284 C#CC(CF)OC=C
ep-12285 CC=COC(C)CF
ep-12287 CC(CF)OC=CF
ep-12288 C=COC(C=C)C=C
ep-12289 C=COC(C=C)C=O
ep-12290 C#CC(C=C)OC=C
ep-12291 C=CC(C)OC=CC
ep-12293 C=CC(C)OC=CF
ep-12294 C=COC(C)C=CC
ep-12296 C=COC(C)C=CF
ep-12297 C=COC(C=O)C=O
ep-12298 C#CC(C=O)OC=C
ep-12299 CC=COC(C)C=O
ep-12301 CC(C=O)OC=CF
ep-12302 C#CC(C#C)OC=C
ep-12303 C#CC(C)OC=CC
ep-12305 C#CC(C)OC=CF
ep-12306 C=COC(C)C#CC
ep-12308 C=COC(C)C#CF
ep-12309 CC(C)=COC(C)C
ep-12311 CC(F)=COC(C)C
ep-12312 CCC=COC(C)C
ep-12314 CC(C)OC=CCF
ep-12315 C=CC=COC(C)C
ep-12316 CC(C)OC=CC=O
ep-12317 C#CC=COC(C)C
ep-12320 COC=COC(C)C
ep-12321 CC(C)OC=C(F)F
ep-12322 CC(C)C(C)OC=O
ep-12324 CC(F)C(C)OC=O
ep-12325 C=C(C)C(C)OC=O
ep-12326 CC(=O)C(C)OC=O
ep-12327 CCC(CC)OC=O
ep-12329 CCC(CF)OC=O
ep-12330 C=CC(CC)OC=O
ep-12331 CCC(C=O)OC=O
ep-12332 C#CC(CC)OC=O
ep-12333 CCCC(C)OC=O
ep-12335 CC(CCF)OC=O
ep-12336 C=CCC(C)OC=O
ep-12337 CC(CC=O)OC=O
ep-12338 C#CCC(C)OC=O
ep-12348 COCC(C)OC=O
ep-12349 CC(OC=O)C(F)F
ep-12350 C=C(F)C(C)OC=O
ep-12351 CC(OC=O)C(=O)F
ep-12352 O=COC(CF)CF
ep-12353 C=CC(CF)OC=O
ep-12354 O=COC(C=O)CF
ep-12355 C#CC(CF)OC=O
ep-12356 C=CC(C=C)OC=O
ep-12357 C=CC(C=O)OC=O
ep-12358 C#CC(C=C)OC=O
ep-12359 CC=CC(C)OC=O
ep-12361 CC(C=CF)OC=O
ep-12362 O=COC(C=O)C=O
ep-12363 C#CC(C=O)OC=O
