ep-717046 COC(F)(C=C(F)F)C(F)F
ep-717047 COC(F)(C=CF)C(F)(F)F
ep-717048 CC(OC(F)(F)F)C(F)=CF
ep-717049 C=C(F)C(CF)OC(F)(F)F
ep-717050 CC(C=C(F)F)OC(F)(F)F
ep-717051 FC=CC(CF)OC(F)(F)F
ep-717052 C=CC(OC(F)(F)F)C(F)F
ep-717053 CC(OC(F)F)C(F)=C(F)F
ep-717054 FC=C(F)C(CF)OC(F)F
ep-717055 C=C(F)C(OC(F)F)C(F)F
ep-717056 FCC(C=C(F)F)OC(F)F
ep-717057 FC=CC(OC(F)F)C(F)F
ep-717058 C=CC(OC(F)F)C(F)(F)F
ep-717059 FCOC(CF)C(F)=C(F)F
ep-717060 FC=C(F)C(OCF)C(F)F
ep-717061 C=C(F)C(OCF)C(F)(F)F
ep-717062 FCOC(C=C(F)F)C(F)F
ep-717063 FC=CC(OCF)C(F)(F)F
ep-717064 COC(C(F)=C(F)F)C(F)F
ep-717065 COC(C(F)=CF)C(F)(F)F
ep-717066 COC(C=C(F)F)C(F)(F)F
ep-717075 C=C(OC(F)(F)F)C(F)=CF
ep-717076 C=C(F)C(=CF)OC(F)(F)F
ep-717077 C=C(C=C(F)F)OC(F)(F)F
ep-717078 FC=CC(=CF)OC(F)(F)F
ep-717079 C=CC(OC(F)(F)F)=C(F)F
ep-717080 C=C(OC(F)F)C(F)=C(F)F
ep-717081 FC=C(F)C(=CF)OC(F)F
ep-717082 C=C(F)C(OC(F)F)=C(F)F
ep-717083 FC=C(C=C(F)F)OC(F)F
ep-717084 FC=CC(OC(F)F)=C(F)F
ep-717085 FC=C(OCF)C(F)=C(F)F
ep-717086 FC=C(F)C(OCF)=C(F)F
ep-717087 FCOC(C=C(F)F)=C(F)F
ep-717088 COC(=C(F)F)C(F)=C(F)F
ep-717089 C=C(F)C(F)(F)OC(C)(F)F
ep-717090 CC(F)(F)OC(F)(F)C=CF
ep-717091 C=CC(F)(F)OC(F)(F)CF
ep-717092 CC(F)OC(F)(F)C(F)=CF
ep-717093 C=C(F)C(F)(F)OC(F)CF
ep-717094 CC(F)OC(F)(F)C=C(F)F
ep-717095 FC=CC(F)(F)OC(F)CF
ep-717096 C=CC(F)(F)OC(F)C(F)F
ep-717097 CCOC(F)(F)C(F)=C(F)F
ep-717098 FC=C(F)C(F)(F)OCCF
ep-717099 C=C(F)C(F)(F)OCC(F)F
ep-717100 FCCOC(F)(F)C=C(F)F
ep-717101 FC=CC(F)(F)OCC(F)F
ep-717102 C=CC(F)(F)OCC(F)(F)F
ep-717103 CC(F)(F)OC(F)C(F)=CF
ep-717104 C=C(F)C(F)OC(F)(F)CF
ep-717105 CC(F)(F)OC(F)C=C(F)F
ep-717106 FC=CC(F)OC(F)(F)CF
ep-717107 C=CC(F)OC(F)(F)C(F)F
ep-717108 CC(F)OC(F)C(F)=C(F)F
ep-717109 FC=C(F)C(F)OC(F)CF
ep-717110 C=C(F)C(F)OC(F)C(F)F
ep-717111 FCC(F)OC(F)C=C(F)F
ep-717112 FC=CC(F)OC(F)C(F)F
ep-717113 C=CC(F)OC(F)C(F)(F)F
ep-717114 FCCOC(F)C(F)=C(F)F
ep-717115 FC=C(F)C(F)OCC(F)F
ep-717116 C=C(F)C(F)OCC(F)(F)F
ep-717117 FC(F)=CC(F)OCC(F)F
ep-717118 FC=CC(F)OCC(F)(F)F
ep-717119 CC(F)(F)OCC(F)=C(F)F
ep-717120 FC=C(F)COC(F)(F)CF
ep-717121 C=C(F)COC(F)(F)C(F)F
ep-717122 FCC(F)(F)OCC=C(F)F
ep-717123 FC=CCOC(F)(F)C(F)F
ep-717124 C=CCOC(F)(F)C(F)(F)F
ep-717125 FCC(F)OCC(F)=C(F)F
ep-717126 FC=C(F)COC(F)C(F)F
ep-717127 C=C(F)COC(F)C(F)(F)F
ep-717128 FC(F)=CCOC(F)C(F)F
ep-717129 FC=CCOC(F)C(F)(F)F
ep-717130 FC(F)=C(F)COCC(F)F
ep-717131 FC=C(F)COCC(F)(F)F
ep-717132 FC(F)=CCOCC(F)(F)F
ep-717142 C=C(F)OC(F)(F)C(F)=CF
ep-717143 C=C(F)C(F)(F)OC(F)=CF
ep-717144 C=C(F)OC(F)(F)C=C(F)F
ep-717145 FC=CC(F)(F)OC(F)=CF
ep-717146 C=CC(F)(F)OC(F)=C(F)F
ep-717147 C=COC(F)(F)C(F)=C(F)F
ep-717148 FC=COC(F)(F)C(F)=CF
ep-717149 C=C(F)C(F)(F)OC=C(F)F
ep-717150 FC=COC(F)(F)C=C(F)F
ep-717151 FC=CC(F)(F)OC=C(F)F
ep-717152 C=C(F)OC(F)C(F)=C(F)F
ep-717153 FC=C(F)OC(F)C(F)=CF
ep-717154 C=C(F)C(F)OC(F)=C(F)F
ep-717155 FC=C(F)OC(F)C=C(F)F
ep-717156 FC=CC(F)OC(F)=C(F)F
ep-717157 FC=COC(F)C(F)=C(F)F
ep-717158 FC=C(F)C(F)OC=C(F)F
ep-717159 FC(F)=COC(F)C=C(F)F
ep-717160 FC=C(F)OCC(F)=C(F)F
ep-717161 FC=C(F)COC(F)=C(F)F
ep-717162 FC(F)=CCOC(F)=C(F)F
ep-717163 FC(F)=COCC(F)=C(F)F
ep-717164 C#COC(F)(F)C(F)=C(F)F
ep-717165 FC#COC(F)(F)C(F)=CF
ep-717166 FC#COC(F)(F)C=C(F)F
ep-717167 FC#COC(F)C(F)=C(F)F
ep-717168 C=C(C)C(F)(F)OC(F)(F)F
ep-717169 CC(=CF)C(F)(F)OC(F)F
ep-717170 C=C(CF)C(F)(F)OC(F)F
ep-717171 CC(=C(F)F)C(F)(F)OCF
ep-717172 FC=C(CF)C(F)(F)OCF
ep-717173 C=C(C(F)F)C(F)(F)OCF
ep-717174 COC(F)(F)C(CF)=C(F)F
ep-717175 COC(F)(F)C(=CF)C(F)F
ep-717176 C=C(C(F)(F)F)C(F)(F)OC
ep-717177 CC(=CF)C(F)OC(F)(F)F
ep-717178 C=C(CF)C(F)OC(F)(F)F
ep-717179 CC(=C(F)F)C(F)OC(F)F
ep-717180 FC=C(CF)C(F)OC(F)F
ep-717181 C=C(C(F)F)C(F)OC(F)F
ep-717182 FCOC(F)C(CF)=C(F)F
ep-717183 FC=C(C(F)F)C(F)OCF
ep-717184 C=C(C(F)OCF)C(F)(F)F
ep-717185 COC(F)C(=C(F)F)C(F)F
ep-717186 COC(F)C(=CF)C(F)(F)F
ep-717187 CC(COC(F)(F)F)=C(F)F
ep-717188 FC=C(CF)COC(F)(F)F
ep-717189 C=C(COC(F)(F)F)C(F)F
ep-717190 FCC(COC(F)F)=C(F)F
ep-717191 FC=C(COC(F)F)C(F)F
ep-717192 C=C(COC(F)F)C(F)(F)F
ep-717193 FCOCC(=C(F)F)C(F)F
ep-717194 FC=C(COCF)C(F)(F)F
ep-717195 COCC(=C(F)F)C(F)(F)F
ep-717196 CC=CC(F)(F)OC(F)(F)F
ep-717197 CC=C(F)C(F)(F)OC(F)F
ep-717198 CC(F)=CC(F)(F)OC(F)F
ep-717199 FCC=CC(F)(F)OC(F)F
ep-717200 CC(F)=C(F)C(F)(F)OCF
ep-717201 FCC=C(F)C(F)(F)OCF
