ep-667807 FC(F)(F)C=C1OC1(F)F
ep-667808 FC1=COC(F)(F)C1(F)F
ep-667809 FC1=CC(F)(F)C(F)(F)O1
ep-667810 FC1=C(F)C(F)C(F)(F)O1
ep-667811 FC1=C(F)C(F)(F)C(F)O1
ep-667812 CC(F)(F)C1(F)OC1(F)F
ep-667813 FCC(F)C1(F)OC1(F)F
ep-667814 FC(F)CC1(F)OC1(F)F
ep-667815 FCC(F)(F)C1OC1(F)F
ep-667816 FC(F)C(F)C1OC1(F)F
ep-667817 FC(F)(F)CC1OC1(F)F
ep-667818 FCC(F)(F)C1(F)OC1F
ep-667819 FC(F)C(F)C1(F)OC1F
ep-667820 FC1OC1(F)CC(F)(F)F
ep-667821 FC1OC1C(F)(F)C(F)F
ep-667822 FC1OC1C(F)C(F)(F)F
ep-667823 FC(F)C(F)(F)C1(F)CO1
ep-667824 FC(C(F)(F)F)C1(F)CO1
ep-667825 FC(F)(F)C(F)(F)C1CO1
ep-667846 CC1(F)C(F)(F)OC1(F)F
ep-667847 FCC1C(F)(F)OC1(F)F
ep-667848 FCC1(F)C(F)OC1(F)F
ep-667849 FC(F)C1C(F)OC1(F)F
ep-667850 FC(F)C1(F)COC1(F)F
ep-667851 FC(F)(F)C1COC1(F)F
ep-667852 FC(F)C1(F)C(F)OC1F
ep-667853 FC1OC(F)C1C(F)(F)F
ep-667854 FC1OCC1(F)C(F)(F)F
ep-667856 FC1C2(F)OC(F)(F)C12F
ep-667857 FC1(F)OC2(F)C1C2(F)F
ep-667858 FC1OC2(F)C(F)(F)C12F
ep-667859 FC1(F)OC2C(F)(F)C21F
ep-667860 FC1C(F)(F)C2(F)OC12F
ep-667861 FC1(F)C2OC2(F)C1(F)F
ep-667876 COC(C)(F)OC(F)(F)F
ep-667877 CC(F)(OCF)OC(F)F
ep-667878 COC(F)(CF)OC(F)F
ep-667879 FCOC(F)(CF)OCF
ep-667880 COC(F)(OCF)C(F)F
ep-667881 COC(F)(OC)C(F)(F)F
ep-667882 CC(OCF)OC(F)(F)F
ep-667883 COC(CF)OC(F)(F)F
ep-667884 CC(OC(F)F)OC(F)F
ep-667885 FCOC(CF)OC(F)F
ep-667886 COC(OC(F)F)C(F)F
ep-667887 FCOC(OCF)C(F)F
ep-667888 COC(OCF)C(F)(F)F
ep-667893 C=C(OCF)OC(F)(F)F
ep-667894 COC(=CF)OC(F)(F)F
ep-667895 C=C(OC(F)F)OC(F)F
ep-667896 FC=C(OCF)OC(F)F
ep-667897 COC(OC(F)F)=C(F)F
ep-667898 FCOC(OCF)=C(F)F
ep-667899 COC(F)(F)OC(C)(F)F
ep-667900 CC(F)OC(F)(F)OCF
ep-667901 COC(F)(F)OC(F)CF
ep-667902 CCOC(F)(F)OC(F)F
ep-667903 FCCOC(F)(F)OCF
ep-667904 COC(F)(F)OCC(F)F
ep-667905 CC(F)(F)OC(F)OCF
ep-667906 COC(F)OC(F)(F)CF
ep-667907 CC(F)OC(F)OC(F)F
ep-667908 FCOC(F)OC(F)CF
ep-667909 COC(F)OC(F)C(F)F
ep-667910 CCOC(F)OC(F)(F)F
ep-667911 FCCOC(F)OC(F)F
ep-667912 FCOC(F)OCC(F)F
ep-667913 COC(F)OCC(F)(F)F
ep-667914 CC(F)(F)OCOC(F)F
ep-667915 FCOCOC(F)(F)CF
ep-667916 COCOC(F)(F)C(F)F
ep-667917 CC(F)OCOC(F)(F)F
ep-667918 FCC(F)OCOC(F)F
ep-667919 FCOCOC(F)C(F)F
ep-667920 COCOC(F)C(F)(F)F
ep-667921 FCCOCOC(F)(F)F
ep-667922 FC(F)COCOC(F)F
ep-667923 FCOCOCC(F)(F)F
ep-667924 C=C(F)OC(F)(F)OCF
ep-667925 COC(F)(F)OC(F)=CF
ep-667926 C=COC(F)(F)OC(F)F
ep-667927 FC=COC(F)(F)OCF
ep-667928 COC(F)(F)OC=C(F)F
ep-667929 C=C(F)OC(F)OC(F)F
ep-667930 FC=C(F)OC(F)OCF
ep-667931 COC(F)OC(F)=C(F)F
ep-667932 C=COC(F)OC(F)(F)F
ep-667933 FC=COC(F)OC(F)F
ep-667934 FCOC(F)OC=C(F)F
ep-667935 C=C(F)OCOC(F)(F)F
ep-667936 FC=C(F)OCOC(F)F
ep-667937 FCOCOC(F)=C(F)F
ep-667938 FC=COCOC(F)(F)F
ep-667939 FC(F)=COCOC(F)F
ep-667940 C#COC(F)(F)OC(F)F
ep-667941 FC#COC(F)(F)OCF
ep-667942 C#COC(F)OC(F)(F)F
ep-667943 FC#COC(F)OC(F)F
ep-667944 FC#COCOC(F)(F)F
ep-668053 COCC(F)(F)OC(F)F
ep-668054 COC(F)C(F)(F)OCF
ep-668055 FCOCC(F)(F)OCF
ep-668056 COC(F)(F)C(F)(F)OC
ep-668057 COC(F)(F)C(F)OCF
ep-668058 COC(F)(F)COC(F)F
ep-668059 COCC(F)OC(F)(F)F
ep-668060 COC(F)C(F)OC(F)F
ep-668061 FCOCC(F)OC(F)F
ep-668062 FCOC(F)C(F)OCF
ep-668063 FCOC(F)COC(F)F
ep-668064 COC(F)COC(F)(F)F
ep-668065 FCOCCOC(F)(F)F
ep-668066 FC(F)OCCOC(F)F
ep-668067 C=CC(C)(F)OC(F)(F)F
ep-668068 C=C(F)C(C)(F)OC(F)F
ep-668069 CC(F)(C=CF)OC(F)F
ep-668070 C=CC(F)(CF)OC(F)F
ep-668071 CC(F)(OCF)C(F)=CF
ep-668072 C=C(F)C(F)(CF)OCF
ep-668073 CC(F)(C=C(F)F)OCF
ep-668074 FC=CC(F)(CF)OCF
ep-668075 C=CC(F)(OCF)C(F)F
ep-668076 COC(C)(F)C(F)=C(F)F
ep-668077 COC(F)(CF)C(F)=CF
ep-668078 C=C(F)C(F)(OC)C(F)F
ep-668079 COC(F)(C=C(F)F)CF
ep-668080 COC(F)(C=CF)C(F)F
ep-668081 C=CC(F)(OC)C(F)(F)F
ep-668082 C=C(F)C(C)OC(F)(F)F
ep-668083 CC(C=CF)OC(F)(F)F
ep-668084 C=CC(CF)OC(F)(F)F
ep-668085 CC(OC(F)F)C(F)=CF
ep-668086 C=C(F)C(CF)OC(F)F
ep-668087 CC(C=C(F)F)OC(F)F
ep-668088 FC=CC(CF)OC(F)F
ep-668089 C=CC(OC(F)F)C(F)F
ep-668090 CC(OCF)C(F)=C(F)F
ep-668091 FC=C(F)C(CF)OCF
ep-668092 C=C(F)C(OCF)C(F)F
ep-668093 FCOC(C=C(F)F)CF
ep-668094 FC=CC(OCF)C(F)F
ep-668095 C=CC(OCF)C(F)(F)F
ep-668096 COC(CF)C(F)=C(F)F
