ep-774497 CC(OC(F)(F)F)C(F)=C(F)F
ep-774498 FC=C(F)C(CF)OC(F)(F)F
ep-774499 C=C(F)C(OC(F)(F)F)C(F)F
ep-774500 FCC(C=C(F)F)OC(F)(F)F
ep-774501 FC=CC(OC(F)(F)F)C(F)F
ep-774502 C=CC(OC(F)(F)F)C(F)(F)F
ep-774503 FCC(OC(F)F)C(F)=C(F)F
ep-774504 FC=C(F)C(OC(F)F)C(F)F
ep-774505 C=C(F)C(OC(F)F)C(F)(F)F
ep-774506 FC(F)=CC(OC(F)F)C(F)F
ep-774507 FC=CC(OC(F)F)C(F)(F)F
ep-774508 FCOC(C(F)=C(F)F)C(F)F
ep-774509 FC=C(F)C(OCF)C(F)(F)F
ep-774510 FCOC(C=C(F)F)C(F)(F)F
ep-774511 COC(C(F)=C(F)F)C(F)(F)F
ep-774516 C=C(OC(F)(F)F)C(F)=C(F)F
ep-774517 FC=C(F)C(=CF)OC(F)(F)F
ep-774518 C=C(F)C(OC(F)(F)F)=C(F)F
ep-774519 FC=C(C=C(F)F)OC(F)(F)F
ep-774520 FC=CC(OC(F)(F)F)=C(F)F
ep-774521 FC=C(OC(F)F)C(F)=C(F)F
ep-774522 FC=C(F)C(OC(F)F)=C(F)F
ep-774523 FC(F)=CC(OC(F)F)=C(F)F
ep-774524 FCOC(=C(F)F)C(F)=C(F)F
ep-774525 CC(F)(F)OC(F)(F)C(F)=CF
ep-774526 C=C(F)C(F)(F)OC(F)(F)CF
ep-774527 CC(F)(F)OC(F)(F)C=C(F)F
ep-774528 FC=CC(F)(F)OC(F)(F)CF
ep-774529 C=CC(F)(F)OC(F)(F)C(F)F
ep-774530 CC(F)OC(F)(F)C(F)=C(F)F
ep-774531 FC=C(F)C(F)(F)OC(F)CF
ep-774532 C=C(F)C(F)(F)OC(F)C(F)F
ep-774533 FCC(F)OC(F)(F)C=C(F)F
ep-774534 FC=CC(F)(F)OC(F)C(F)F
ep-774535 C=CC(F)(F)OC(F)C(F)(F)F
ep-774536 FCCOC(F)(F)C(F)=C(F)F
ep-774537 FC=C(F)C(F)(F)OCC(F)F
ep-774538 C=C(F)C(F)(F)OCC(F)(F)F
ep-774539 FC(F)=CC(F)(F)OCC(F)F
ep-774540 FC=CC(F)(F)OCC(F)(F)F
ep-774541 CC(F)(F)OC(F)C(F)=C(F)F
ep-774542 FC=C(F)C(F)OC(F)(F)CF
ep-774543 C=C(F)C(F)OC(F)(F)C(F)F
ep-774544 FCC(F)(F)OC(F)C=C(F)F
ep-774545 FC=CC(F)OC(F)(F)C(F)F
ep-774546 C=CC(F)OC(F)(F)C(F)(F)F
ep-774547 FCC(F)OC(F)C(F)=C(F)F
ep-774548 FC=C(F)C(F)OC(F)C(F)F
ep-774549 C=C(F)C(F)OC(F)C(F)(F)F
ep-774550 FC(F)=CC(F)OC(F)C(F)F
ep-774551 FC=CC(F)OC(F)C(F)(F)F
ep-774552 FC(F)=C(F)C(F)OCC(F)F
ep-774553 FC=C(F)C(F)OCC(F)(F)F
ep-774554 FC(F)=CC(F)OCC(F)(F)F
ep-774555 FCC(F)(F)OCC(F)=C(F)F
ep-774556 FC=C(F)COC(F)(F)C(F)F
ep-774557 C=C(F)COC(F)(F)C(F)(F)F
ep-774558 FC(F)=CCOC(F)(F)C(F)F
ep-774559 FC=CCOC(F)(F)C(F)(F)F
ep-774560 FC(F)=C(F)COC(F)C(F)F
ep-774561 FC=C(F)COC(F)C(F)(F)F
ep-774562 FC(F)=CCOC(F)C(F)(F)F
ep-774563 FC(F)=C(F)COCC(F)(F)F
ep-774568 C=C(F)OC(F)(F)C(F)=C(F)F
ep-774569 FC=C(F)OC(F)(F)C(F)=CF
ep-774570 C=C(F)C(F)(F)OC(F)=C(F)F
ep-774571 FC=C(F)OC(F)(F)C=C(F)F
ep-774572 FC=CC(F)(F)OC(F)=C(F)F
ep-774573 FC=COC(F)(F)C(F)=C(F)F
ep-774574 FC=C(F)C(F)(F)OC=C(F)F
ep-774575 FC(F)=COC(F)(F)C=C(F)F
ep-774576 FC=C(F)OC(F)C(F)=C(F)F
ep-774577 FC=C(F)C(F)OC(F)=C(F)F
ep-774578 FC(F)=CC(F)OC(F)=C(F)F
ep-774579 FC(F)=COC(F)C(F)=C(F)F
ep-774580 FC(F)=C(F)COC(F)=C(F)F
ep-774581 FC#COC(F)(F)C(F)=C(F)F
ep-774582 CC(=CF)C(F)(F)OC(F)(F)F
ep-774583 C=C(CF)C(F)(F)OC(F)(F)F
ep-774584 CC(=C(F)F)C(F)(F)OC(F)F
ep-774585 FC=C(CF)C(F)(F)OC(F)F
ep-774586 C=C(C(F)F)C(F)(F)OC(F)F
ep-774587 FCOC(F)(F)C(CF)=C(F)F
ep-774588 FC=C(C(F)F)C(F)(F)OCF
ep-774589 C=C(C(F)(F)F)C(F)(F)OCF
ep-774590 COC(F)(F)C(=C(F)F)C(F)F
ep-774591 COC(F)(F)C(=CF)C(F)(F)F
ep-774592 CC(=C(F)F)C(F)OC(F)(F)F
ep-774593 FC=C(CF)C(F)OC(F)(F)F
ep-774594 C=C(C(F)F)C(F)OC(F)(F)F
ep-774595 FCC(=C(F)F)C(F)OC(F)F
ep-774596 FC=C(C(F)F)C(F)OC(F)F
ep-774597 C=C(C(F)OC(F)F)C(F)(F)F
ep-774598 FCOC(F)C(=C(F)F)C(F)F
ep-774599 FC=C(C(F)OCF)C(F)(F)F
ep-774600 COC(F)C(=C(F)F)C(F)(F)F
ep-774601 FCC(COC(F)(F)F)=C(F)F
ep-774602 FC=C(COC(F)(F)F)C(F)F
ep-774603 C=C(COC(F)(F)F)C(F)(F)F
ep-774604 FC(F)=C(COC(F)F)C(F)F
ep-774605 FC=C(COC(F)F)C(F)(F)F
ep-774606 FCOCC(=C(F)F)C(F)(F)F
ep-774607 CC=C(F)C(F)(F)OC(F)(F)F
ep-774608 CC(F)=CC(F)(F)OC(F)(F)F
ep-774609 FCC=CC(F)(F)OC(F)(F)F
ep-774610 CC(F)=C(F)C(F)(F)OC(F)F
ep-774611 FCC=C(F)C(F)(F)OC(F)F
ep-774612 FCC(F)=CC(F)(F)OC(F)F
ep-774613 FC(F)C=CC(F)(F)OC(F)F
ep-774614 FCOC(F)(F)C(F)=C(F)CF
ep-774615 FCOC(F)(F)C(F)=CC(F)F
ep-774616 FCOC(F)(F)C=C(F)C(F)F
ep-774617 FCOC(F)(F)C=CC(F)(F)F
ep-774618 COC(F)(F)C(F)=C(F)C(F)F
ep-774619 COC(F)(F)C(F)=CC(F)(F)F
ep-774620 COC(F)(F)C=C(F)C(F)(F)F
ep-774621 CC(F)=C(F)C(F)OC(F)(F)F
ep-774622 FCC=C(F)C(F)OC(F)(F)F
ep-774623 FCC(F)=CC(F)OC(F)(F)F
ep-774624 FC(F)C=CC(F)OC(F)(F)F
ep-774625 FCC(F)=C(F)C(F)OC(F)F
ep-774626 FC(=CC(F)F)C(F)OC(F)F
ep-774627 FC(=CC(F)OC(F)F)C(F)F
ep-774628 FC(F)OC(F)C=CC(F)(F)F
ep-774629 FCOC(F)C(F)=C(F)C(F)F
ep-774630 FCOC(F)C(F)=CC(F)(F)F
ep-774631 FCOC(F)C=C(F)C(F)(F)F
ep-774632 COC(F)C(F)=C(F)C(F)(F)F
ep-774633 FCC(F)=C(F)COC(F)(F)F
ep-774634 FC(=CC(F)F)COC(F)(F)F
ep-774635 FC(=CCOC(F)(F)F)C(F)F
ep-774636 FC(F)(F)C=CCOC(F)(F)F
ep-774637 FC(COC(F)F)=C(F)C(F)F
ep-774638 FC(=CC(F)(F)F)COC(F)F
ep-774639 FC(=CCOC(F)F)C(F)(F)F
ep-774640 FCOCC(F)=C(F)C(F)(F)F
ep-774645 FC#CC(F)(CF)OC(F)(F)F
ep-774646 C#CC(F)(OC(F)(F)F)C(F)F
ep-774647 FC#CC(F)(OC(F)F)C(F)F
ep-774648 C#CC(F)(OC(F)F)C(F)(F)F
ep-774649 FC#CC(F)(OCF)C(F)(F)F
ep-774650 FC#CC(OC(F)(F)F)C(F)F
ep-774651 C#CC(OC(F)(F)F)C(F)(F)F
ep-774652 FC#CC(OC(F)F)C(F)(F)F
ep-774653 FC#CC(OC(F)(F)F)=C(F)F
ep-774654 FC#CC(F)(F)OC(F)(F)CF
ep-774655 C#CC(F)(F)OC(F)(F)C(F)F
ep-774656 FC#CC(F)(F)OC(F)C(F)F
ep-774657 C#CC(F)(F)OC(F)C(F)(F)F
ep-774658 FC#CC(F)(F)OCC(F)(F)F
