ep-932179 FC(F)(F)COC(F)(CC(F)(F)F)C(F)(F)F
ep-932180 CC(F)(F)C(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-932181 FCC(F)(F)C(OC(F)(F)C(F)F)C(F)(F)F
ep-932182 FCC(F)(F)OC(C(F)(F)F)C(F)(F)C(F)F
ep-932183 CC(F)(F)OC(C(F)(F)F)C(F)(F)C(F)(F)F
ep-932184 FCC(F)(F)C(OC(F)(F)C(F)(F)F)C(F)F
ep-932185 FC(F)C(OC(F)(F)C(F)F)C(F)(F)C(F)F
ep-932186 FCC(F)(F)OC(C(F)F)C(F)(F)C(F)(F)F
ep-932187 FCC(OC(F)(F)C(F)(F)F)C(F)(F)C(F)F
ep-932188 FCC(OC(F)(F)C(F)F)C(F)(F)C(F)(F)F
ep-932189 CC(OC(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
ep-932190 FCC(F)C(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-932191 FC(F)C(F)C(OC(F)(F)C(F)F)C(F)(F)F
ep-932192 FCC(F)(F)OC(C(F)C(F)(F)F)C(F)(F)F
ep-932193 FC(F)C(F)C(OC(F)(F)C(F)(F)F)C(F)F
ep-932194 FC(F)C(OC(F)(F)C(F)F)C(F)C(F)(F)F
ep-932195 FCC(OC(F)(F)C(F)(F)F)C(F)C(F)(F)F
ep-932196 FC(F)CC(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-932197 FC(F)C(F)(F)OC(CC(F)(F)F)C(F)(F)F
ep-932198 FC(F)C(CC(F)(F)F)OC(F)(F)C(F)(F)F
ep-932199 FCC(F)(F)C(OC(F)C(F)(F)F)C(F)(F)F
ep-932200 FC(F)C(F)OC(C(F)(F)F)C(F)(F)C(F)F
ep-932201 FCC(F)OC(C(F)(F)F)C(F)(F)C(F)(F)F
ep-932202 FC(F)C(OC(F)C(F)(F)F)C(F)(F)C(F)F
ep-932203 FC(F)C(F)OC(C(F)F)C(F)(F)C(F)(F)F
ep-932204 FCC(OC(F)C(F)(F)F)C(F)(F)C(F)(F)F
ep-932205 FC(F)C(F)C(OC(F)C(F)(F)F)C(F)(F)F
ep-932206 FC(F)C(F)OC(C(F)C(F)(F)F)C(F)(F)F
ep-932207 FC(F)C(OC(F)C(F)(F)F)C(F)C(F)(F)F
ep-932208 FC(OC(CC(F)(F)F)C(F)(F)F)C(F)(F)F
ep-932209 FC(F)C(F)(F)C(OCC(F)(F)F)C(F)(F)F
ep-932210 FC(F)COC(C(F)(F)F)C(F)(F)C(F)(F)F
ep-932211 FC(F)C(OCC(F)(F)F)C(F)(F)C(F)(F)F
ep-932212 FC(C(OCC(F)(F)F)C(F)(F)F)C(F)(F)F
ep-932218 C=C(F)C(F)(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-932219 FC=C(F)C(F)(OC(F)(F)C(F)F)C(F)(F)F
ep-932220 FCC(F)(F)OC(F)(C(F)=C(F)F)C(F)(F)F
ep-932221 FC=C(F)C(F)(OC(F)(F)C(F)(F)F)C(F)F
ep-932222 FC(F)=C(F)C(F)(OC(F)(F)C(F)F)C(F)F
ep-932223 FCC(F)(OC(F)(F)C(F)(F)F)C(F)=C(F)F
ep-932224 FC=CC(F)(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-932225 FC(F)=CC(F)(OC(F)(F)C(F)F)C(F)(F)F
ep-932226 FC(F)=CC(F)(OC(F)(F)C(F)(F)F)C(F)F
ep-932227 FC=C(F)C(F)(OC(F)C(F)(F)F)C(F)(F)F
ep-932228 FC(F)=C(F)C(F)(OC(F)C(F)F)C(F)(F)F
ep-932229 FC(F)=C(F)C(F)(OC(F)C(F)(F)F)C(F)F
ep-932230 FC(F)=CC(F)(OC(F)C(F)(F)F)C(F)(F)F
ep-932231 FC(F)=C(F)C(F)(OCC(F)(F)F)C(F)(F)F
ep-932232 FC=C(F)C(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-932233 FC(F)=C(F)C(OC(F)(F)C(F)F)C(F)(F)F
ep-932234 FC(F)=C(F)C(OC(F)(F)C(F)(F)F)C(F)F
ep-932235 FC(F)=CC(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-932236 FC(F)=C(F)C(OC(F)C(F)(F)F)C(F)(F)F
ep-932237 FC#CC(F)(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-932238 CC(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-932239 FCCC(F)(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-932240 CC(F)(F)C(F)(F)OC(F)(C(F)F)C(F)(F)F
ep-932241 FCC(F)C(F)(F)OC(F)(C(F)F)C(F)(F)F
ep-932242 FC(F)CC(F)(F)OC(F)(C(F)F)C(F)(F)F
ep-932243 FCC(F)(F)C(F)(F)OC(F)(CF)C(F)(F)F
ep-932244 FCC(F)(OC(F)(F)C(F)C(F)F)C(F)(F)F
ep-932245 FCC(F)(OC(F)(F)CC(F)(F)F)C(F)(F)F
ep-932246 CC(F)(OC(F)(F)C(F)(F)C(F)F)C(F)(F)F
ep-932247 CC(F)(OC(F)(F)C(F)C(F)(F)F)C(F)(F)F
ep-932248 FCC(F)(F)C(F)(F)OC(F)(C(F)F)C(F)F
ep-932249 FC(F)C(F)C(F)(F)OC(F)(C(F)F)C(F)F
ep-932250 FC(F)C(F)(OC(F)(F)CC(F)(F)F)C(F)F
ep-932251 FCC(F)(OC(F)(F)C(F)(F)C(F)F)C(F)F
ep-932252 FCC(F)(OC(F)(F)C(F)C(F)(F)F)C(F)F
ep-932253 CC(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)F
ep-932254 FCC(F)(CF)OC(F)(F)C(F)(F)C(F)(F)F
ep-932255 CC(F)(F)C(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-932256 FCC(F)C(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-932257 FC(F)CC(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-932258 FCC(F)(F)C(F)OC(F)(C(F)F)C(F)(F)F
ep-932259 FC(F)C(F)C(F)OC(F)(C(F)F)C(F)(F)F
ep-932260 FC(CC(F)(F)F)OC(F)(C(F)F)C(F)(F)F
ep-932261 FCC(F)(OC(F)C(F)(F)C(F)F)C(F)(F)F
ep-932262 FCC(F)(OC(F)C(F)C(F)(F)F)C(F)(F)F
ep-932263 CC(F)(OC(F)C(F)(F)C(F)(F)F)C(F)(F)F
ep-932264 FC(F)C(F)(F)C(F)OC(F)(C(F)F)C(F)F
ep-932265 FC(OC(F)(C(F)F)C(F)F)C(F)C(F)(F)F
ep-932266 FCC(F)(OC(F)C(F)(F)C(F)(F)F)C(F)F
ep-932267 FCC(F)(F)COC(F)(C(F)(F)F)C(F)(F)F
ep-932268 FC(F)C(F)COC(F)(C(F)(F)F)C(F)(F)F
ep-932269 FC(F)(F)CCOC(F)(C(F)(F)F)C(F)(F)F
ep-932270 FC(F)C(F)(F)COC(F)(C(F)F)C(F)(F)F
ep-932271 FC(COC(F)(C(F)F)C(F)(F)F)C(F)(F)F
ep-932272 FCC(F)(OCC(F)(F)C(F)(F)F)C(F)(F)F
ep-932273 FC(F)C(F)(OCC(F)(F)C(F)(F)F)C(F)F
ep-932274 CC(F)(F)C(F)(F)OC(C(F)(F)F)C(F)(F)F
ep-932275 FCC(F)C(F)(F)OC(C(F)(F)F)C(F)(F)F
ep-932276 FC(F)CC(F)(F)OC(C(F)(F)F)C(F)(F)F
ep-932277 FCC(F)(F)C(F)(F)OC(C(F)F)C(F)(F)F
ep-932278 FC(F)C(OC(F)(F)C(F)C(F)F)C(F)(F)F
ep-932279 FC(F)C(OC(F)(F)CC(F)(F)F)C(F)(F)F
ep-932280 FCC(OC(F)(F)C(F)(F)C(F)F)C(F)(F)F
ep-932281 FCC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)F
ep-932282 CC(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F
ep-932283 FC(F)C(OC(F)(F)C(F)(F)C(F)F)C(F)F
ep-932284 FC(F)C(OC(F)(F)C(F)C(F)(F)F)C(F)F
ep-932285 FCC(OC(F)(F)C(F)(F)C(F)(F)F)C(F)F
ep-932286 FCC(F)(F)C(F)OC(C(F)(F)F)C(F)(F)F
ep-932287 FC(F)C(F)C(F)OC(C(F)(F)F)C(F)(F)F
ep-932288 FC(CC(F)(F)F)OC(C(F)(F)F)C(F)(F)F
