ep-937466 FC(C(F)(F)F)C(F)(F)C(F)C(F)(F)OC(F)(F)F
ep-937467 FC(C(F)C(F)(F)C(F)(F)F)C(F)(F)OC(F)(F)F
ep-937468 FC(F)(F)OC(F)(F)CC(F)(F)C(F)(F)C(F)(F)F
ep-937469 FC(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F
ep-937470 FC(F)OC(F)(F)C(F)(F)C(F)(F)C(F)C(F)(F)F
ep-937471 FC(F)OC(F)(F)C(F)(F)C(F)C(F)(F)C(F)(F)F
ep-937472 FC(F)OC(F)(F)C(F)C(F)(F)C(F)(F)C(F)(F)F
ep-937473 FCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
ep-937474 FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)OC(F)(F)F
ep-937475 FC(OC(F)(F)F)C(F)(F)C(F)(F)C(F)C(F)(F)F
ep-937476 FC(OC(F)(F)F)C(F)(F)C(F)C(F)(F)C(F)(F)F
ep-937477 FC(OC(F)(F)F)C(F)C(F)(F)C(F)(F)C(F)(F)F
ep-937478 FC(F)OC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
ep-937479 FC(F)(F)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
ep-937480 FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F
ep-937481 FC(F)(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F
ep-937482 FC(F)=C(F)C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
ep-937483 FC(F)=C(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)F
ep-937484 FC(=C(F)C(F)(F)C(F)(F)OC(F)(F)F)C(F)(F)F
ep-937485 FC(=C(C(F)(F)F)C(F)(F)OC(F)(F)F)C(F)(F)F
ep-937486 FC(F)(F)OC(OC(F)(F)F)(C(F)(F)F)C(F)(F)F
ep-937487 FC(F)(F)OC(F)(OC(F)(F)F)C(F)(F)C(F)(F)F
ep-937488 FC(F)(OC(F)(F)C(F)(F)F)OC(F)(F)C(F)(F)F
ep-937489 FC(F)(F)OC(F)(F)OC(F)(F)C(F)(F)C(F)(F)F
ep-937490 FC(F)(F)OC(=C(C(F)(F)F)C(F)(F)F)C(F)(F)F
ep-937491 FC(OC(F)(F)F)=C(C(F)(F)F)C(F)(F)C(F)(F)F
ep-937492 FC(OC(F)(F)C(F)(F)F)=C(C(F)(F)F)C(F)(F)F
ep-937493 FC(=C(OC(F)(F)F)C(F)(F)F)C(F)(F)C(F)(F)F
ep-937494 FC(OC(F)(F)F)=C(F)C(F)(C(F)(F)F)C(F)(F)F
ep-937495 FC(OC(F)(F)F)=C(F)C(F)(F)C(F)(F)C(F)(F)F
ep-937496 FC(OC(F)(F)C(F)(F)F)=C(F)C(F)(F)C(F)(F)F
ep-937497 FC(=C(OC(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F
ep-937498 FC(F)=C(OC(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
ep-937499 FC(=C(C(F)(F)F)C(F)(F)F)C(F)(F)OC(F)(F)F
ep-937500 FC(=C(F)C(F)(F)C(F)(F)F)C(F)(F)OC(F)(F)F
ep-937529 FC(=C(OC(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)F
