ep-874494 FCC(OC(F)(F)F)=C(F)C(F)(F)F
ep-874495 FC(F)OC(=CC(F)(F)F)C(F)(F)F
ep-874496 FC(F)C=C(OC(F)(F)F)C(F)(F)F
ep-874497 FC(F)C(=CC(F)(F)F)OC(F)(F)F
ep-874508 CC(OC(F)(F)F)(C(F)F)C(F)(F)F
ep-874509 FCC(CF)(OC(F)(F)F)C(F)(F)F
ep-874510 FCC(OC(F)(F)F)(C(F)F)C(F)F
ep-874511 CC(OC(F)F)(C(F)(F)F)C(F)(F)F
ep-874512 FCC(OC(F)F)(C(F)F)C(F)(F)F
ep-874513 FC(F)OC(C(F)F)(C(F)F)C(F)F
ep-874514 FCOC(CF)(C(F)(F)F)C(F)(F)F
ep-874515 FCOC(C(F)F)(C(F)F)C(F)(F)F
ep-874516 COC(C(F)F)(C(F)(F)F)C(F)(F)F
ep-874519 CC(F)(F)OC(F)(C(F)F)C(F)(F)F
ep-874520 FCC(F)(F)OC(F)(CF)C(F)(F)F
ep-874521 CC(F)(OC(F)(F)C(F)F)C(F)(F)F
ep-874522 FCC(F)(F)OC(F)(C(F)F)C(F)F
ep-874523 FCC(F)(OC(F)(F)C(F)F)C(F)F
ep-874524 CC(F)(OC(F)(F)C(F)(F)F)C(F)F
ep-874525 FCC(F)(CF)OC(F)(F)C(F)(F)F
ep-874526 CC(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-874527 FCC(F)OC(F)(C(F)F)C(F)(F)F
ep-874528 FCC(F)(OC(F)C(F)F)C(F)(F)F
ep-874529 CC(F)(OC(F)C(F)(F)F)C(F)(F)F
ep-874530 FC(F)C(F)OC(F)(C(F)F)C(F)F
ep-874531 FCC(F)(OC(F)C(F)(F)F)C(F)F
ep-874532 FCCOC(F)(C(F)(F)F)C(F)(F)F
ep-874533 FC(F)COC(F)(C(F)F)C(F)(F)F
ep-874534 FCC(F)(OCC(F)(F)F)C(F)(F)F
ep-874535 FC(F)C(F)(OCC(F)(F)F)C(F)F
ep-874536 CC(F)(F)OC(C(F)(F)F)C(F)(F)F
ep-874537 FCC(F)(F)OC(C(F)F)C(F)(F)F
ep-874538 FCC(OC(F)(F)C(F)F)C(F)(F)F
ep-874539 CC(OC(F)(F)C(F)(F)F)C(F)(F)F
ep-874540 FC(F)C(OC(F)(F)C(F)F)C(F)F
ep-874541 FCC(OC(F)(F)C(F)(F)F)C(F)F
ep-874542 FCC(F)OC(C(F)(F)F)C(F)(F)F
ep-874543 FC(F)C(F)OC(C(F)F)C(F)(F)F
ep-874544 FCC(OC(F)C(F)(F)F)C(F)(F)F
ep-874545 FC(F)C(OC(F)C(F)(F)F)C(F)F
ep-874546 FC(F)COC(C(F)(F)F)C(F)(F)F
ep-874547 FC(F)C(OCC(F)(F)F)C(F)(F)F
ep-874551 C=C(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-874552 FC=C(F)OC(F)(C(F)F)C(F)(F)F
ep-874553 FCC(F)(OC(F)=C(F)F)C(F)(F)F
ep-874554 FC(F)=C(F)OC(F)(C(F)F)C(F)F
ep-874555 FC=COC(F)(C(F)(F)F)C(F)(F)F
ep-874556 FC(F)=COC(F)(C(F)F)C(F)(F)F
ep-874557 FC=C(F)OC(C(F)(F)F)C(F)(F)F
ep-874558 FC(F)=C(F)OC(C(F)F)C(F)(F)F
ep-874559 FC(F)=COC(C(F)(F)F)C(F)(F)F
ep-874560 FC#COC(F)(C(F)(F)F)C(F)(F)F
ep-874569 FC#COC(F)(F)C(F)(F)C(F)(F)F
ep-874570 FC(F)(F)C#COC(F)(F)C(F)(F)F
ep-874571 C=C(OC(F)(F)F)C(F)(F)C(F)(F)F
ep-874572 FC=C(OC(F)(F)F)C(F)(F)C(F)F
ep-874573 FCC(F)(F)C(OC(F)(F)F)=C(F)F
ep-874574 FC=C(OC(F)(F)F)C(F)C(F)(F)F
ep-874575 FC(F)=C(OC(F)(F)F)C(F)C(F)F
ep-874576 FC(F)=C(CC(F)(F)F)OC(F)(F)F
ep-874577 FC=C(OC(F)F)C(F)(F)C(F)(F)F
ep-874578 FC(F)=C(OC(F)F)C(F)(F)C(F)F
ep-874579 FC(F)=C(OC(F)F)C(F)C(F)(F)F
ep-874580 FCOC(=C(F)F)C(F)(F)C(F)(F)F
ep-874581 CC(F)(F)OC(F)(F)C(F)(F)C(F)F
ep-874582 FCC(F)(F)OC(F)(F)C(F)(F)CF
ep-874583 CC(F)(F)C(F)(F)OC(F)(F)C(F)F
ep-874584 CC(F)(F)OC(F)(F)C(F)C(F)(F)F
ep-874585 FCC(F)(F)OC(F)(F)C(F)C(F)F
ep-874586 FCC(F)C(F)(F)OC(F)(F)C(F)F
ep-874587 CC(F)C(F)(F)OC(F)(F)C(F)(F)F
ep-874588 FCC(F)(F)OC(F)(F)CC(F)(F)F
ep-874589 FC(F)CC(F)(F)OC(F)(F)C(F)F
ep-874590 FCCC(F)(F)OC(F)(F)C(F)(F)F
ep-874591 CC(F)OC(F)(F)C(F)(F)C(F)(F)F
ep-874592 FCC(F)OC(F)(F)C(F)(F)C(F)F
ep-874593 FCC(F)(F)C(F)(F)OC(F)C(F)F
ep-874594 CC(F)(F)C(F)(F)OC(F)C(F)(F)F
ep-874595 FCC(F)OC(F)(F)C(F)C(F)(F)F
ep-874596 FC(F)C(F)OC(F)(F)C(F)C(F)F
ep-874597 FCC(F)C(F)(F)OC(F)C(F)(F)F
ep-874598 FC(F)C(F)OC(F)(F)CC(F)(F)F
ep-874599 FC(F)CC(F)(F)OC(F)C(F)(F)F
ep-874600 FCCOC(F)(F)C(F)(F)C(F)(F)F
ep-874601 FC(F)COC(F)(F)C(F)(F)C(F)F
ep-874602 FCC(F)(F)C(F)(F)OCC(F)(F)F
ep-874603 FC(F)COC(F)(F)C(F)C(F)(F)F
ep-874604 FC(F)C(F)C(F)(F)OCC(F)(F)F
ep-874605 FC(F)(F)COC(F)(F)CC(F)(F)F
ep-874606 CC(F)(F)OC(F)C(F)(F)C(F)(F)F
ep-874607 FCC(F)(F)OC(F)C(F)(F)C(F)F
ep-874608 FCC(F)(F)C(F)OC(F)(F)C(F)F
ep-874609 CC(F)(F)C(F)OC(F)(F)C(F)(F)F
ep-874610 FCC(F)(F)OC(F)C(F)C(F)(F)F
ep-874611 FC(F)C(F)C(F)OC(F)(F)C(F)F
ep-874612 FCC(F)C(F)OC(F)(F)C(F)(F)F
ep-874613 FC(CC(F)(F)F)OC(F)(F)C(F)F
ep-874614 FC(F)CC(F)OC(F)(F)C(F)(F)F
ep-874615 FCC(F)OC(F)C(F)(F)C(F)(F)F
ep-874616 FC(F)C(F)OC(F)C(F)(F)C(F)F
ep-874617 FCC(F)(F)C(F)OC(F)C(F)(F)F
ep-874618 FC(F)C(F)OC(F)C(F)C(F)(F)F
ep-874619 FC(F)C(F)C(F)OC(F)C(F)(F)F
ep-874620 FC(CC(F)(F)F)OC(F)C(F)(F)F
ep-874621 FC(F)COC(F)C(F)(F)C(F)(F)F
ep-874622 FC(F)C(F)(F)C(F)OCC(F)(F)F
ep-874623 FC(OCC(F)(F)F)C(F)C(F)(F)F
ep-874624 FCC(F)(F)OCC(F)(F)C(F)(F)F
ep-874625 FC(F)C(F)(F)COC(F)(F)C(F)F
ep-874626 FCC(F)(F)COC(F)(F)C(F)(F)F
ep-874627 FC(COC(F)(F)C(F)F)C(F)(F)F
ep-874628 FC(F)C(F)COC(F)(F)C(F)(F)F
ep-874629 FC(F)(F)CCOC(F)(F)C(F)(F)F
ep-874630 FC(F)C(F)OCC(F)(F)C(F)(F)F
ep-874631 FC(OCC(F)(F)C(F)F)C(F)(F)F
ep-874632 FC(COC(F)C(F)(F)F)C(F)(F)F
