ep-426878 CC12C=CC3OC1C3O2
ep-427037 CC1=CC=C2OC13CC23
ep-582773 C1#CC2CC3(C#C1)OC23
ep-428258 C1#CC23C=CC(C1)(C2)O3
ep-428260 C1#CC23CC=CC1(C2)O3
ep-428276 C1#CC23C=CC(C2)(O1)O3
ep-428331 C1#CC23C#CC(C2)(O1)O3
ep-429410 C1CC2OC3(C1)OCC23
ep-429494 C1#CC23CCC(C2)(O1)O3
ep-583507 CC1C2C3C=COC12O3
ep-429512 C1CC23COC(C1)(C2)O3
ep-429568 CC1C2C3OCOC12O3
ep-583510 CC1C2OCOC13OC23
ep-429715 CC1C2CC13OC(O2)O3
ep-583776 CC1OC=C2OC13OC23
ep-583812 CC1=CC=C2OC13OC23
ep-431151 CC1C=C2OC3(C1)OC23
ep-431160 CC12CC3CC(C1)(O3)O2
ep-431161 CC12C=C3CC(C1)(O3)O2
ep-431215 CC12CC3(CC(O1)O3)O2
ep-583903 C1#COC2OC3(C1)OC23
ep-431576 C1#CCC23OC(=C1)C2O3
ep-431746 C1#CC23COC2C(=C1)O3
ep-431829 C1#CC2OC3C1COC23
ep-431833 C1#CC2OC3C(=C1)OC23
ep-431866 C1#CC2OC=C3C1CC32
ep-431923 C1#CC2OC3C(O1)OC23
ep-431929 C1#CC23CC(=CO1)C2O3
ep-431936 C1#CC23CC(O1)C2CO3
ep-431983 C1#CC2C3COC1C2O3
ep-432358 C1=C2C3COC(O1)C2O3
ep-432448 CC1C=C2OC3(O1)OC23
ep-584288 CC12CC3(C=CO1)OC23
ep-433027 C1#CC23CC1(C=CO2)O3
ep-433091 C1=CC2OC=C3C1CC32
ep-584326 C1=CC23CC(=CO1)C2O3
ep-433165 C1#CC2C3=COC2C3C1
ep-584394 C1=C2OC3CC1COC23
ep-433965 C1=CC23OC(=CO1)C2O3
ep-433966 C1#CC23OC(=CO1)C2O3
ep-584467 CC12OC13OC=CC2O3
ep-584468 CC12OC=CC3(OC13)O2
ep-584528 CC1OC=C2CC13OC23
ep-434209 C1=C2OC3CC1OC=C23
ep-584530 C1=C2C3CCC(O1)C2O3
ep-434245 C1=C2CC3OC1OC=C23
ep-434246 C1=C2C3CC2C(CO3)O1
ep-584533 C1#CC2OC=C3C1OC32
ep-434256 C1#CC2Oc3c2coc31
ep-434278 CC12C=C3CC(O3)(O1)O2
ep-434390 C1=C2OC=C3C(C1)OC23
ep-584537 CC12OC13C=COC2C3
ep-584538 CC1C2OC=CC13OC23
ep-434408 CC1C2C3OC=CC12O3
ep-584577 C1#CC2C3=CC1OC2O3
ep-584578 CC1C=C2OC3(CC23)O1
ep-584584 C1=C2C=C3OC(O2)C3C1
ep-584955 C1#CC2C3OCC1C2O3
ep-435197 C1#CC2C3=COC2C3O1
ep-435260 C1#CC2C3OC=C1C2O3
ep-435456 CC1C2C3CC=CC12O3
ep-435574 CC12OC13C=CCC2C3
ep-585187 CC12CC13OC=CC2O3
ep-585188 CC12CC13C=COC2O3
ep-585504 C1CC2C3OCC1C2O3
ep-585615 C1#CC2C3COC1C2C3
ep-437090 C1#CC2OC3C(C1)CC23
ep-437127 C1#CC2OC3=C1OCC32
ep-585659 CC12CC13CC2OCO3
ep-437321 CC1C2C3CC12OCO3
ep-585706 CC12CC13OCOC2O3
ep-437706 CC1OC=C2OC13CC23
ep-437874 C1#COC23CC(O1)C2C3
ep-437880 C1#COC23CC2C(O1)O3
ep-585876 CC1=C2OC3(C=C1)OC23
ep-438014 C1=CC23OC(=CC1)C2O3
ep-438224 CC12C=C3CC(C3)(C1)O2
ep-585904 CC12CC=CC3(CC13)O2
ep-438328 CC12C=CC3CC1C3O2
