EP ID,CAS ID,Smiles,Binding energy (eV),Formation energy in solvent (eV/atom),Formation energy in vaccum (eV/atom),LUMO_sol (eV),HOMO_sol (eV),LUMO_cls (eV),HOMO_cls (eV),LUMO change (eV),HOMO change (eV),Dielectric constant of solvents,Dielectric constant of electrolytes,Viscosity of solvents (mPa s),Viscosity of electrolytes (mPa s),Diffusivity of Li (m^2/s),Diffusivity of FSI (m^2/s),Diffusivity of solvens (m^2/s),Transference number of Li,Similarity of solvents
ep-12130,91508-78-0,CCC(C)OCOC,-0.875528873,-0.237184535,-0.22187566,7.701636881,-7.939464343,5.656973788,-8.673083147,-2.044663093,-0.733618805,8.9721,13.6576,0.74006612,2.01351735,3.71e-10,3.76e-10,2e-09,0.497243826,
ep-40148,2619-30-9,COCC1CCCC1,-1.018075687,-0.031518618,-0.018071496,8.394982844,-7.744630862,6.075756926,-9.901404841,-2.319225917,-2.156773979,5.1956,4.9336,0.54867652,0.91363369,1.09e-10,1.08e-10,2e-09,0.50053058,
ep-11983,36749-13-0,CCOC(CC)CC,-0.926367894,-0.079934839,-0.065347045,8.288858462,-7.551702178,6.491546813,-9.077444254,-1.797311649,-1.525742077,15.9468,23.5451,0.41791838,1.09501429,6.49e-10,6.26e-10,3e-09,0.508902203,
ep-11917,18641-81-1,CCC(C)OC(C)C,-0.923303893,-0.088304606,-0.073848901,8.462194952,-7.517143725,6.654270865,-8.999891821,-1.807924087,-1.482748096,16.5598,17.9185,0.44479278,1.07884147,2.13e-10,2.19e-10,2e-09,0.492924739,
ep-11989,61962-23-0,CCCOC(C)CC,-0.969511537,-0.082854167,-0.069467075,8.406683737,-7.604764369,6.161744887,-9.460580485,-2.24493885,-1.855816116,6.874,9.3512,0.25947302,0.5057349,2.6e-10,2.63e-10,3e-09,0.496603633,
ep-15387,624-23-7,CCOCC(C)CC,-0.938901456,-0.078838561,-0.065136951,8.563149172,-7.700004199,6.49562852,-9.558813566,-2.067520652,-1.858809368,7.2903,8.9693,0.44822804,0.6307373,1.17e-10,1.19e-10,2e-09,0.497467201,
ep-125227,92096-99-6,CC(C)CCOC(C)C,-0.971876206,-0.064286171,-0.05020146,8.384370406,-7.630887293,6.298618129,-9.384660734,-2.085752277,-1.753773441,8.4239,13.6642,0.55956247,1.00912111,3.3e-10,3.33e-10,1e-09,0.497493101,
ep-134413,17071-47-5,CCCCOCC(C)C,-0.930895868,-0.060831132,-0.046904146,8.596347056,-7.694834036,6.57372518,-9.508744627,-2.022621875,-1.813910591,7.9255,9.2174,0.44742149,1.43385333,1.47e-10,1.43e-10,1e-09,0.507215559,
ep-156785,1004-29-1,CCCCC1CCCO1,-1.105522178,-0.025786142,-0.010941898,8.025452303,-7.528300391,5.749220366,-9.421668211,-2.276231937,-1.89336782,7.1013,11.3921,0.90391522,1.59823113,1.01e-10,9.9e-11,9.95e-10,0.503831627,
ep-134411,628-55-7,CC(C)COCC(C)C,-0.967206733,-0.062393368,-0.050045952,8.582741366,-7.677418753,6.300250811,-9.711741522,-2.282490554,-2.034322769,5.541,7.0536,0.42770127,0.57594867,1.31e-10,1.31e-10,2e-09,0.499597281,
